,Title,Company,Work_Environment,Job_Description,When_Posted,Pay,City,State,Rating
0,Software Developer - AI Trainer (Contract),DataAnnotation,,"You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.",Active 3 days ag,83200.0,,CA,4.5
1,IT Analyst,MMChr,Hybrid,"Experience working in BI data analytics, data science or equivalent field.",Just posted,70000.0,   Los Angeles,CA,
2,Data Analyst,UCLA,,Understanding of relational databases and mastery of data analysis and data.,Posted 30+ days ago·,14583.0,Los Angeles,CA,
3,Associate Data Analyst - Hybrid Remote,CEDARS-SINAI,Hybrid,Uses data quality tools to proactively identify data integrity issues.,Posted 10 days ago·,,   Los Angeles,CA,
4,"Senior Director, Data Science",Red Bull,,3+ years' experience hiring and managing data science teams.,Posted 30+ days ago·,194250.0,Santa Monica,CA,
5,Data Science Junior Instructor (Los Angeles),The Knowledge House,,Familiarity working with JSON data.,Posted 25 days ago·,68640.0,Los Angeles,CA,
6,Statistician,UCLA,,"Advanced knowledge of data collection design, for qualitative and/or quantitative methodologies.",Posted 30+ days ago·,14583.0,Los Angeles,CA,
7,Data Engineer (L4) - Content Knowledge Graph,Netflix,,Obsessed data quality: build reliable and trustworthy web-scale data products.,Posted 30+ days ago·,,Los Angeles,CA,
8,ML Ops Data Engineer 2 - Hybrid - Seattle,Nordstrom Inc,,Experience building and maintaining data pipelines for machine learning.,Posted 27 days ago·,188500.0,Los Angeles,CA,
9,Machine Learning Engineer (Modeling) - Support Advocate Copilot,Cash App,Remote,"Create data features and embeddings from various data structures, (text/non-text, bath/streaming).",Just posted·,,  Los Angeles,CA,
10,DATA SCIENTIST,Los Angeles County Department of Human Resources,,Assisting departmental stakeholders in documenting business requirements and framing problems to enable the application of appropriate data science techniques.,Posted 5 days ago·,,Los Angeles County,CA,
11,DATA SCIENTIST,US Department of the Air Force - Agency Wide,,"Degree: Mathematics, statistics, computer science, data science or field directly related to the position.",Posted 30+ days ago·,,Los Angeles,CA,
12,Product Manager - TikTok Social,TikTok,,"1-3 years of experience in product management, data science, consulting, or equivalent roles.",Posted 30+ days ago·,223250.0,Los Angeles,CA,
13,"Data Scientist, 3+ Years of Experience",Snapchat,,3+ years of experience in quantitative analysis & data science or a related field.,Posted 30+ days ago·,194000.0,Los Angeles,CA,
14,Jr. ML Engineer,BallerTV,,This is a junior-level role focusing on machine-learning projects related to sports and video processing.,Posted 30+ days ago·,,Pasadena,CA,
15,Senior Data Engineer,GOBankingRates,Remote,"Work with our data science and product management teams to design, rapidly prototype, and productize new data product ideas and capabilities.",Posted 30+ days ago·,,  Los Angeles,CA,
16,Business Intelligence Analyst - USDS,TikTok,Hybrid,"Experience in data science programming languages (e.g., Python, R).",Posted 30+ days ago·,168888.0,   Los Angeles,CA,
17,Research Data Scientist,CEDARS-SINAI,,Creates sustainable data science infrastructure and adheres to data analysis/machine learning best practices.,Posted 25 days ago·,,Los Angeles,CA,
18,Data Scientist,Triunity Software,,"MS or PhD in computer science, data science, statistics, math, or related quantitative field.",Posted 11 days ago·,160000.0,Los Angeles,CA,
19,"Application Software Engineer, Data",SpaceX,,"Experience in full stack development, software engineering, data engineering, or data science.",Posted 30+ days ago·,,Hawthorne,CA,
20,Data Scientist,"Pasadena, CA",,Identify data patterns and trends.,Posted 5 days ago·,100000.0,Pasadena,CA,
21,Statistician,UCLA Health,,"The successful candidate will be instrumental in tasks such as database construction, data management, and statistical analysis.",Posted 3 days ago·,,Los Angeles,CA,
22,"Sr Data Scientist, Product Analytics - USDS",TikTok,Hybrid,"Deep dive into data sources, understand their limitations, and communicate complex data insights through exploratory analysis and research to suggest…",Posted 30+ days ago·,312866.0,   Los Angeles,CA,
23,Data Scientist,"Intelliswift Software, Inc.",,This role is ideal for someone that combines strong data analysis experience with the implementation of data science models that create business impact as well…,Posted 30+ days ago·,,Culver City,CA,
24,Data Engineer II,System1,Hybrid,"Any experience collaborating with business intelligence, data analytics, data science stake-holders, is a plus.",Posted 9 days ago·,,   Los Angeles,CA,
25,Analytics Engineer (L4) - Content & Studio,Netflix,,"They will also be a thought leader in the analytics domain, capable of transforming complex metrics and data science outputs into actionable insights.",Posted 16 days ago·,,Los Angeles,CA,
26,Analytics Engineer (L5) - Content DSE,Netflix,,Proven track record in transforming large amounts of complex data into insights by leading the end-to-end creation of intuitive data products.,Posted 30+ days ago·,,Los Angeles,CA,
27,Lead Data Engineer,tvScientific,Remote,We leverage massive data and cutting-edge science to automate and optimize TV advertising to drive business outcomes.,Posted 20 days ago·,,  Los Angeles,CA,
28,"Lead Data Analyst, Influence Operations - USDS",TikTok,Hybrid,Able to create meaningful data visualizations.,Posted 30+ days ago·,220611.0,   Los Angeles,CA,
29,Data Scientist,Core Digital Media,Hybrid,Do data explorations daily to uncover opportunities for operational improvements through innovative data science solutions.,Posted 30+ days ago·,,   Los Angeles,CA,
30,Business Intelligence Analyst,Paramount+,,Improve and strengthen data pipelines for media mix modeling with data engineering teams.,Posted 22 days ago·,,West Hollywood,CA,
31,Remote Bilingual Customer Technical Support Specialist (Bilingual Spanish/English Required),Tandem Diabetes Care Inc.,Remote,Compensation ranges from $18.50 - $21.50/hr depending on location and shift.,Posted 2 days ago·,44720.0,  Los Angeles,CA,
32,Senior Clinical Data Analyst,Providence,,"The Radiation Oncology Systems Program Manager provides continuous technical and application support/analysis for various Radiation Oncology systems, workflows,…",Posted 11 days ago·,143166.4,Burbank,CA,
33,Chief Data & Artificial Intelligence Officer (CDAIO),UCLA,,"Understanding of data governance, privacy, and security in AI applications.",Posted 23 days ago·,282300.0,Los Angeles,CA,
34,"Senior Technical Recruiter, Machine Learning",Snapchat,,Strong data tracking and evaluation skills & ability to drive process change through data analysis.,Posted 3 days ago·,161000.0,Los Angeles,CA,
35,Utilization Review Assistant,Long Beach Memorial Medical Center,,"The Utilization Review Assistant, using decision trees and standard work, determines appropriate chart documents and timely transmits the documents to…",Posted 5 days ago·,74568.0,Long Beach,CA,
36,"Sr. Data Analyst, Payment Risk & Fraud",SpaceX,,"Implement data driven, risk-based solutions and policies to mitigate fraud and chargebacks.",Posted 21 days ago·,145000.0,Hawthorne,CA,
37,Chief AI Officer,Proper Hospitality,,"Oversee the build-out of AI infrastructure and data pipelines, leveraging guest data, property management systems (PMS), and other hospitality-specific data…",Posted 2 days ago·,250000.0,Los Angeles,CA,
38,HR Data and Compliance Consultant/Analyst - Los Angeles,TikTok,,"Collect, clean, and analyze HR data, ensuring data accuracy and consistency;",Posted 30+ days ago·,228000.0,Los Angeles,CA,
39,Data Engineer,InStride,,5+ years of professional experience in software development with familiarity in data engineering or data science.,Posted 30+ days ago·,,Los Angeles,CA,
40,Solutions Architect (Artificial Intelligence),"Tentek, Inc.",Hybrid,"Collaborate with data scientists and engineers to collect, clean, and prepare data for AI model training and evaluation.",Active 5 days ag,416000.0,   Culver City,CA,
41,Machine Learning Scientist (L4) - Content DSE,Netflix,,"Experience with SQL, or with building end-to-end data pipelines.",Posted 17 days ago·,,Los Angeles,CA,
42,Pricing and Valuations Analyst (Remote),Manufacturers Bank,Remote,"Partner with data science team to explore innovative approaches, tools, and data sources to support improvements to the pricing strategies.",Posted 30+ days ago·,,  Los Angeles,CA,
43,"LA Galaxy, Sr Data Analyst- Marketing",AEG Worldwide,,Work with the Data Engineer to ensure data is structured properly for analysis to ensure the data desired is received.,Posted 26 days ago·,,Carson,CA,
44,"Software Development Engineer II, Ring Data Science and Engineering",Amazon.com Services LLC,,"Strong technical expertise in data management systems, including experience in high-volume data collection, storage, and analysis.",Posted 12 days ago·,115000.0,Hawthorne,CA,
45,"Data Scientist, Product Analytics - Trust & Safety",TikTok,,"Previous experience in data science, data analytics, or product analytics at a consumer technology company.",Posted 18 days ago·,228000.0,Los Angeles,CA,
46,Games Data Lead,Blitz App,,"Data Architecture: Define and implement data architecture best practices, including data warehousing, data lakes, and cloud-based solutions.",Posted 30+ days ago·,,Los Angeles,CA,
47,Data Science Instructor,UCLA Extension,,"Minimum MS degree in computer science, statistics, Information Technology or applied science.",Posted 30+ days ago·,,Los Angeles,CA,
48,Senior Data Analyst,"Evite, Inc.",,Understanding of data warehouse architecture and data design.,Posted 30+ days ago·,,Glendale,CA,
49,Senior Live Product Data Analyst,TikTok,Hybrid,"Bachelor degree or above, major in mathematics, statistics, computer science is preferred; or major in science or engineering or engaged in data statistics,…",Posted 30+ days ago·,220611.0,   Los Angeles,CA,
50,Data Scientist,goop,,Advanced level experience with relational databases (SQL) and unstructured & semi-structured data.,Posted 30+ days ago·,,Santa Monica,CA,
51,Machine Learning Engineer,Centerfield,Hybrid,"You will help design the data science programs, machine learning models, and architecture to support Generative AI .",Posted 20 days ago·,180000.0,   Los Angeles,CA,
52,Senior Data Analyst,Circle,Remote,Expert in data analyses using SQL.,Posted 9 days ago·,162500.0,  Los Angeles,CA,
53,"Lead Data Analyst/Senior Data Analyst, Tiktok Ads - USDS",TikTok,Hybrid,Expert experience pulling large and complex data using SQL and writing data pipelines.,Posted 30+ days ago·,,   Los Angeles,CA,
54,Data Analyst - Product & Marketing (REMOTE),The League,Remote,"Own data analysis and visualization, and communicate the outcomes/insights to various partners (marketing, data, product, eng) to aid strategic decisions for…",Posted 30+ days ago·,,  Los Angeles,CA,
55,Business Data Engineer,Latham & Watkins LLP,,"This role will be responsible for developing, researching, and implementing data analysis projects including but not limited to data reporting, data…",Posted 30+ days ago·,,Los Angeles,CA,
56,Operations Research Data Scientist,Hadrian,,Work with the FactoryOS team to ensure data captured from the factory is suitable for data science needs.,Posted 30+ days ago·,,Los Angeles,CA,
57,Associate Software Engineer,BOEING,,"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Posted 10 days ago·,123050.0,El Segundo,CA,
58,PR Insights Analyst,Zeta Global,,Practice statistical analysis and basic data science.,Posted 5 days ago·,80000.0,El Segundo,CA,
59,Data Engineer (W2),ProIT Inc.,,Working on building /optimizing logical data model and data pipelines while delivering high data quality solutions that are testable and adhere to SLAs.,Active 10 days ago·,,Culver City,CA,
60,"Director/ Sr. Director, Data Analytics",Shout! Factory,,"The Director/Sr. Director, Data Analytics will primarily be responsible for the use of content, marketing, product, and ad analytics in parallel with data…",Posted 11 days ago·,130000.0,Los Angeles,CA,
61,PowerBI Reports Developer for Chemical Guys,Jenn Nguyen and Friends,,"Who are we? Chemical Guys is more than a brand. It's a lifestyle with a worldwide following driven by adventure, a passion for shine, and a love for the…",Active 5 days ago·,130000.0,Torrance,CA,
62,"Marketing Data Scientist, Reality Labs",Oculus,,The Meta Reality Labs Marketing data science team is responsible for developing world-class data science solutions to maximize AR/VR business growth. This…,Posted 25 days ago·,204000.0,Los Angeles,CA,
63,Data Scientist,Exponent Inc.,,About Exponent: Exponent is the only premium engineering and scientific consulting firm with the depth and breadth of expertise to solve our clients’ most…,Posted 30+ days ago·,,Los Angeles,CA,
64,"Product Manager, Generative AI",Snapchat,,Snap Inc is a technology company. We believe the camera presents the greatest opportunity to improve the way people live and communicate. Snap contributes to…,Posted 30+ days ago·,257000.0,Los Angeles,CA,
65,Staff Analytics Engineer,Warner Bros. Discovery,,"Every great story has a new beginning, and yours starts here. Welcome to Warner Bros. Discovery… the stuff dreams are made of. Who We Are… When we say, …",Posted 30+ days ago·,244400.0,Culver City,CA,
66,Data Scientist,AE Studio,,"AE Studio is an LA-based company focused on increasing human agency while maintaining our ineffable culture and whimsy. If the work diminishes agency, we may…",Posted 30+ days ago·,,Los Angeles,CA,
67,Business Intelligence Engineer II,Disney Entertainment & ESPN Technology,,"On any given day at Disney Entertainment & ESPN Technology, we’re reimagining ways to create magical viewing experiences for the world’s most beloved stories…",Posted 9 days ago·,114400.0,Burbank,CA,
68,"Manager, Data Analytics",StackCommerce,Remote,"Who We Are: StackCommerce is the leading commerce + content platform. For consumers, we help them discover and purchase products directly on the news and…",Posted 30+ days ago·,,  Venice,CA,
69,Applied Scientist I,Capital Group Companies,,"“I can succeed as an Applied Scientist at Capital Group” As an Applied Scientist on our Global Insights and Analytics team, you will play a key role in…",Posted 30+ days ago·,266482.0,Los Angeles,CA,
70,Applications Programmer III - Radiological Sciences,UCLA Health,,Description Join UCLA Health and step into a pivotal role within our esteemed healthcare system. Utilize state-of-the-art technology to enhance patient care…,Posted 24 days ago·,154900.0,Los Angeles,CA,
71,"Senior Data Scientist, 5+ Years of Experience",Snapchat,,Snap Inc. is a camera company. We believe that reinventing the camera represents our greatest opportunity to improve the way people live and communicate. Our…,Posted 30+ days ago·,235000.0,Los Angeles,CA,
72,Scheduling Pathways and Technology Director (Fixed Hybrid),UCLA Health,,"Description UCLA Health runs and operates over 200 outpatient clinics located in Southern California with over 3,000,000 outpatient encounters annually.…",Posted 30+ days ago·,250600.0,Los Angeles,CA,
73,AWS Data Engineer - Mumbai,Fugetron Corporation,,"Job Opportunities Welcome to Fugetron Corp! We look forward to meeting you! Come join us to expand our journey into the world of technology. At Fugetron, we…",Posted 30+ days ago·,,Los Angeles,CA,
74,Staff Data Scientist,StubHub,Hybrid,"StubHub is on a mission to redefine the live event experience on a global scale. Whether someone is looking to attend their first event or their hundredth, we…",Posted 17 days ago·,,   Los Angeles,CA,
75,"Manager, Data Engineering (Pricing)",EVgo,,Interest in performing other tasks such as data analysis and data validation.,Posted 7 days ago·,,Los Angeles,CA,
76,Senior Data Scientist - Personalization & Recommendations,Fox Corporation,,"Our current advanced digital solutions, accessed by millions across web, mobile, and living room devices, signify just the start of our ambitious journey.",Posted 30+ days ago·,175000.0,Los Angeles,CA,
77,Sr. Data Scientist,CEDENT,Remote,Partner with cross-functional team to streamline data science solutions.,Posted 30+ days ago·,,  Los Angeles,CA,
78,Staff Data Scientist,GOBankingRates,Remote,"Strong skills in data preprocessing, feature engineering, and data wrangling to extract meaningful insights from raw data.",Posted 30+ days ago·,,  Los Angeles,CA,
79,"Vice President, Analytics",Lionsgate,,Building BI tools and teams to visualize data for non-technical audiences.,Posted 30+ days ago·,185000.0,Santa Monica,CA,
80,Test Program Manager (TPM),BOEING,,"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Posted 2 days ago·,187450.0,El Segundo,CA,
81,Lead Data Analyst,Childrens Institute Inc,,Ensures compliance with data governance policies and maintains data security standards while handling sensitive information.,Posted 30+ days ago·,,Los Angeles,CA,
82,"Sr Product Manager I, Data Solutions & Instrumentation (ESPN Fantasy)",Disney Entertainment & ESPN Technology,,"Advanced degree in computer science, information systems, software, or data science.",Posted 30+ days ago·,182490.0,Santa Monica,CA,
83,Data Scientist,Fabletics,Hybrid,Experience with data visualization tools such as Tableau.,Posted 30+ days ago·,,   El Segundo,CA,
84,Product Data Analyst (Gaming),TapBlaze,,"Data Integrity: Ensure data accuracy and integrity, troubleshoot data issues, and collaborate with engineering for improved data collection processes.",Posted 30+ days ago·,,Los Angeles,CA,
85,"Data Scientist, Product Analytics",Meta,,"Communication and influence: You won’t simply present data, but tell data-driven stories.",Posted 30+ days ago·,,Los Angeles,CA,
86,Senior Data Engineer,System1,Hybrid,Designing and developing data processing infrastructure.,Posted 30+ days ago·,,   Los Angeles,CA,
87,PROJECT MANAGER - DATA & ANALYTICS,STAND 8,,"Onboarding new datasets or data platforms and data availability via API, data pipelines and transformation of data.",Posted 19 days ago·,145600.0,Burbank,CA,
88,Data Scientist,Link Network,,Identify data needs and sources.,Active 3 days ago·,,Torrance,CA,
89,Data Engineer,CyberCoders,,"Work with our data science and product management teams to design, rapidly prototype, and productize new data product ideas and capabilities.",Posted 2 days ag,220000.0,,CA,3.9
90,Analytics Manager - Partner Success Team,Klarna,,"We are on a mission to liberate humanity from all the meaningless time spent managing their purchases and finances, so they can do more of what they love.…",Posted 5 days ago·,172500.0,Los Angeles,CA,
91,Senior Business Data Analyst,USC,,"Who We Are: USC is a leading private research university located in Los Angeles – a global center for arts, technology and international business. As the city…",Posted 13 days ago·,113304.12,Los Angeles,CA,
92,"Developer, Data Insights & Analytics",USC,,"The University of Southern California (USC), founded in 1880, is in the heart of downtown L.A. and is the largest private employer in the City of Los Angeles.…",Posted 30+ days ago·,,Los Angeles,CA,
93,"Data Engineer, Product Analytics",Meta,,"As a highly collaborative organization, our data engineers work cross-functionally with software engineering, data science, and product management to optimize…",Posted 30+ days ago·,171000.0,Los Angeles,CA,
94,Machine Learning Engineer,Tencent,,"Work Mode: Onsite Responsibilities: As a Machine Learning Engineer, you will be a crucial member of our development team, working closely with game designers,…",Posted 30+ days ago·,,Los Angeles,CA,
95,Sr. Bioinformatician - Jonsson Cancer Center,UCLA Health,,Description Thenewly formed Cancer Data Sciences group at the UCLA David Geffen School ofMedicine and UCLA Jonsson Cancer Centre is seeking a Senior…,Posted 30+ days ago·,,Los Angeles,CA,
96,"Data Scientist, Payment Analytics - USDS",TikTok,Hybrid,Responsibilities About TikTok U.S. Data Security TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring…,Posted 14 days ago·,228000.0,   Los Angeles,CA,
97,"Machine Learning Engineer, TikTok Branding Ads",TikTok,,Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices…,Posted 30+ days ago·,237500.0,Los Angeles,CA,
98,Senior Data Science Engineer,Relativity Space,,"Company Overview: At Relativity Space, we have two audacious goals: to build the next great commercial launch company with Terran R and to become America's…",Posted 18 days ago·,204000.0,Long Beach,CA,
99,Applied Scientist,"Amazon Development Center U.S., Inc. - B02",,"- PhD, or Master's degree and 4+ years of CS, CE, ML or related field experience - Experience in patents or publications at top-tier peer-reviewed conferences…",Posted 24 days ago·,136000.0,Pasadena,CA,
100,SENIOR DATA SCIENTIST,Los Angeles County Department of Human Resources,,"When to Apply We will be accepting applications from Friday, March 22, 2024, at 8:00 a.m. (PT) to Friday, April 5, 2024 BEFORE 5:00 p.m. (PT). Type of…",Posted 10 days ago·,155836.31,Los Angeles County,CA,
101,Senior Data Scientist,sweetgreen - Bold Careers Page,,Sweetgreen is looking for a highly skilled and experienced Senior Data Scientist. This role is responsible for tackling complex business challenges across…,Posted 7 days ago·,,Los Angeles,CA,
102,"Senior Data Engineer, Blockchain",Circle,Remote,"Circle is a financial technology company at the epicenter of the emerging internet of money, where value can finally travel like other digital data — globally…",Posted 14 days ago·,195000.0,  Los Angeles,CA,
103,Software Engineer II,Dyno Labs,,"Dyno Labs specializes in enhancing online community interaction with our versatile platform. As the company behind Dyno (dyno.gg) and ProBot (probot.io),…",Posted 30+ days ago·,,Los Angeles,CA,
